Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-97.46	-97.46	-98.7	-1.6666307	1.9810044	1.0535794	-14.11647	-1.6659354	0.1	5000	52.040040731430054
1	-100.0	-100.0	-92.6	-4.148206	4.331923	2.4113967	-23.688526	-4.1479616	0.0	10000	103.29368901252747
2	-97.8	-97.8	-100.0	-5.9829054	6.5325565	4.2274313	-29.012266	-5.982766	0.0	15000	155.9883828163147
3	-96.1	-96.1	-91.5	-7.3977795	8.607353	4.804174	-39.342075	-7.397907	0.1	20000	208.89298582077026
4	-96.0	-96.0	-90.0	-8.257119	10.40664	4.6452475	-43.57444	-8.257115	0.1	25000	261.03287053108215
5	-100.0	-100.0	-95.9	-8.902886	12.082549	4.1609764	-46.95536	-8.902837	0.1	30000	315.3141279220581
6	-96.0	-96.0	-89.9	-9.432537	13.526853	3.9887202	-49.680496	-9.432545	0.1	35000	369.22521805763245
7	-97.86	-97.86	-100.0	-9.81904	14.687369	9.126519	-50.970753	-9.819065	0.0	40000	422.96363067626953
8	-96.22	-96.22	-91.5	-10.212305	15.629192	5.490695	-56.60836	-10.212445	0.1	45000	475.83322048187256
9	-96.02	-96.02	-100.0	-10.495007	16.439648	5.836381	-57.051258	-10.495004	0.0	50000	529.227222442627
10	-99.96	-99.96	-86.5	-10.702835	17.093586	4.325975	-57.70009	-10.702937	0.2	55000	584.1359386444092
11	-99.78	-99.78	-93.2	-10.924755	17.694355	5.89456	-58.181316	-10.924794	0.2	60000	636.6840455532074
12	-97.08	-97.08	-90.4	-11.125735	18.253855	3.5901816	-58.77033	-11.12573	0.2	65000	688.4945826530457
13	-95.68	-95.68	-94.2	-11.217208	18.672852	2.5522096	-59.704506	-11.217347	0.2	70000	738.8429591655731
14	-93.12	-93.12	-79.299995	-11.236414	18.931562	3.244782	-59.97264	-11.23656	0.3	75000	788.1137788295746
15	-96.88	-96.88	-94.1	-11.295714	19.225134	5.1901717	-60.28711	-11.29583	0.2	80000	840.7006785869598
16	-99.56	-99.56	-71.799995	-11.332454	19.455505	5.5744195	-60.95267	-11.332504	0.6	85000	892.7314720153809
17	-97.86	-97.86	-93.6	-11.399596	19.690863	9.193457	-60.332256	-11.399691	0.1	90000	945.0374181270599
18	-96.58	-96.58	-82.6	-11.430376	19.869009	12.731427	-60.608265	-11.430449	0.2	95000	997.5484888553619
19	-96.46	-96.46	-88.700005	-11.425467	20.013462	8.292848	-65.28022	-11.425719	0.2	100000	1050.918829202652
20	-93.92	-93.92	-90.0	-11.465655	20.159288	1.157768	-61.465965	-11.4656515	0.1	105000	1103.912621498108
21	-93.82	-93.82	-84.299995	-11.419156	20.244152	3.9832892	-61.586937	-11.419109	0.2	110000	1156.987812280655
22	-93.94	-93.94	-96.7	-11.398412	20.319618	1.2370915	-61.462837	-11.398501	0.1	115000	1209.519133090973
23	-98.14	-98.14	-84.4	-11.398957	20.403267	3.6384857	-61.258373	-11.399094	0.2	120000	1261.6677298545837
24	-99.62	-99.62	-92.4	-11.431971	20.510834	1.0479834	-61.34333	-11.431966	0.1	125000	1313.9456984996796
25	-96.8	-96.8	-75.200005	-11.421182	20.567526	1.5048213	-61.582172	-11.421339	0.3	130000	1366.7894201278687
26	-94.68	-94.68	-89.799995	-11.396577	20.610983	4.8775554	-61.011086	-11.396645	0.2	135000	1420.0768246650696
27	-96.2	-96.2	-92.0	-11.317284	20.62723	3.4044263	-61.93851	-11.317364	0.1	140000	1472.1706879138947
28	-98.8	-98.8	-90.0	-11.360077	20.713919	0.9382444	-64.0992	-11.360055	0.1	145000	1525.571299314499
29	-98.0	-98.0	-82.299995	-11.32117	20.74942	1.2211714	-65.2439	-11.321332	0.3	150000	1574.3985028266907
30	-96.0	-96.0	-96.2	-11.33978	20.826761	0.9273505	-66.34452	-11.339757	0.1	155000	1620.3171932697296
31	-97.8	-97.8	-77.200005	-11.293275	20.84566	0.092277616	-65.58807	-11.293356	0.3	160000	1665.7432296276093
32	-95.26	-95.26	-92.0	-11.266674	20.875244	0.6007712	-64.319565	-11.266677	0.1	165000	1711.665281534195
33	-93.0	-93.0	-98.4	-11.276055	20.934675	1.7998362	-66.597786	-11.27608	0.1	170000	1761.6085228919983
34	-99.08	-99.08	-82.9	-11.168479	20.897972	1.802666	-67.955925	-11.168538	0.1	175000	1816.090969324112
35	-94.14	-94.14	-100.0	-11.178399	20.939934	0.70291734	-67.28394	-11.1785345	0.0	180000	1868.947999715805
36	-99.22	-99.22	-99.7	-11.145693	20.946186	1.8228619	-65.52218	-11.145636	0.1	185000	1921.9741716384888
37	-100.0	-100.0	-81.200005	-11.13757	20.977755	3.8672395	-66.83486	-11.137667	0.2	190000	1975.2719094753265
38	-95.08	-95.08	-96.8	-11.103914	20.980312	6.661251	-67.05093	-11.104023	0.1	195000	2035.1394755840302
39	-100.0	-100.0	-90.1	-11.027153	20.942629	7.754292	-68.68887	-11.027213	0.1	200000	2088.7456135749817
40	-96.76	-96.76	-99.6	-11.03024	20.994928	9.000917	-67.58637	-11.030239	0.1	205000	2142.7387635707855
41	-94.5	-94.5	-75.6	-10.945211	20.98752	0.9096731	-69.19436	-10.945263	0.5	210000	2195.57275223732
42	-93.42	-93.42	-93.2	-10.907936	20.979319	1.0697298	-69.166916	-10.908015	0.1	215000	2248.921804666519
43	-95.98	-95.98	-92.1	-10.874829	20.971699	1.1454029	-69.93556	-10.874842	0.1	220000	2303.47101521492
44	-92.9	-92.9	-93.6	-10.784303	20.912125	1.802442	-74.996414	-10.784416	0.2	225000	2362.3693022727966
45	-97.16	-97.16	-89.1	-10.7955065	20.93126	0.55334467	-78.01776	-10.795495	0.2	230000	2418.615112066269
46	-99.92	-99.92	-72.799995	-10.717521	20.880377	0.22953403	-68.19832	-10.717502	0.3	235000	2475.266284942627
47	-98.74	-98.74	-94.6	-10.698733	20.876633	0.10222015	-69.77218	-10.698784	0.1	240000	2532.0789346694946
48	-99.7	-99.7	-69.5	-10.667851	20.856224	0.104099214	-66.86386	-10.667922	0.5	245000	2590.0621194839478
