Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
50	-200.0	-200.0	-200.0	-45.36192	4.4986196	-29.305305	-54.114143	-45.36192	0.0	510000	2841.634777545929
51	-200.0	-200.0	-200.0	-45.36316	4.494184	-29.383581	-54.02999	-45.36316	0.0	520000	2888.3292927742004
52	-200.0	-200.0	-200.0	-45.359097	4.517865	-29.111183	-53.86549	-45.359097	0.0	530000	2934.9350996017456
53	-200.0	-200.0	-200.0	-45.35169	4.5130973	-29.544771	-54.002094	-45.35169	0.0	540000	2981.6798725128174
54	-200.0	-200.0	-200.0	-45.35885	4.4873204	-29.937016	-53.917046	-45.35885	0.0	550000	3028.547459602356
55	-200.0	-200.0	-200.0	-45.362114	4.4887686	-30.266361	-53.747993	-45.362114	0.0	560000	3074.999348640442
56	-200.0	-200.0	-200.0	-45.394466	4.4704814	-30.38077	-53.67661	-45.394466	0.0	570000	3121.7687509059906
57	-200.0	-200.0	-200.0	-45.42324	4.4422293	-30.488781	-53.98113	-45.42324	0.0	580000	3168.474512577057
58	-200.0	-200.0	-200.0	-45.431965	4.451986	-30.414965	-53.510128	-45.431965	0.0	590000	3214.82918548584
59	-200.0	-200.0	-200.0	-45.412243	4.459829	-30.69709	-53.5939	-45.412243	0.0	600000	3261.0207047462463
60	-200.0	-200.0	-200.0	-45.419453	4.445553	-30.852943	-53.679073	-45.419453	0.0	610000	3307.7194409370422
61	-200.0	-200.0	-200.0	-45.423615	4.455899	-29.949585	-53.40715	-45.423615	0.0	620000	3354.193009853363
62	-200.0	-200.0	-200.0	-45.421387	4.4556727	-30.421013	-53.376736	-45.421387	0.0	630000	3400.996800661087
63	-200.0	-200.0	-200.0	-45.413704	4.472462	-30.25466	-54.357826	-45.413704	0.0	640000	3447.318566083908
64	-200.0	-200.0	-200.0	-45.44606	4.454517	-30.519688	-53.494457	-45.44606	0.0	650000	3494.20951962471
65	-200.0	-200.0	-200.0	-45.420704	4.464638	-30.772638	-53.30659	-45.420704	0.0	660000	3540.750747680664
66	-200.0	-200.0	-200.0	-45.413784	4.456244	-31.028809	-53.202118	-45.413784	0.0	670000	3587.5572035312653
67	-200.0	-200.0	-200.0	-45.415417	4.4479046	-31.25568	-53.384834	-45.415417	0.0	680000	3634.4848222732544
68	-200.0	-200.0	-200.0	-45.398224	4.454811	-31.300505	-53.138084	-45.398224	0.0	690000	3681.0251517295837
69	-200.0	-200.0	-200.0	-45.404125	4.4646745	-30.944653	-53.07612	-45.404125	0.0	700000	3727.7991650104523
70	-200.0	-200.0	-200.0	-45.434937	4.4384913	-30.496307	-53.491043	-45.434937	0.0	710000	3774.2665960788727
71	-200.0	-200.0	-200.0	-45.437515	4.431542	-31.305561	-53.18861	-45.437515	0.0	720000	3821.1777198314667
72	-200.0	-200.0	-200.0	-45.467426	4.416918	-31.662663	-53.350746	-45.467426	0.0	730000	3868.014991044998
73	-200.0	-200.0	-200.0	-45.4727	4.410985	-31.210747	-53.003277	-45.4727	0.0	740000	3915.5522882938385
74	-200.0	-200.0	-200.0	-45.466434	4.4385123	-30.83569	-52.82565	-45.466434	0.0	750000	3962.2164146900177
75	-200.0	-200.0	-200.0	-45.4853	4.4321756	-30.91584	-53.130367	-45.4853	0.0	760000	4008.8255836963654
76	-200.0	-200.0	-200.0	-45.47917	4.4322505	-30.65866	-52.84687	-45.47917	0.0	770000	4055.8878474235535
77	-200.0	-200.0	-200.0	-45.509212	4.4063315	-30.909176	-53.029675	-45.509212	0.0	780000	4102.913759469986
78	-200.0	-200.0	-200.0	-45.485863	4.4107223	-30.66414	-53.12748	-45.485863	0.0	790000	4166.030167341232
79	-200.0	-200.0	-200.0	-45.504204	4.4119344	-30.509106	-53.53712	-45.504204	0.0	800000	4231.911336421967
80	-200.0	-200.0	-200.0	-45.495796	4.4241586	-30.298874	-52.8224	-45.495796	0.0	810000	4294.563722610474
81	-200.0	-200.0	-200.0	-45.497517	4.4237714	-30.285805	-53.185078	-45.497517	0.0	820000	4354.004443883896
82	-200.0	-200.0	-200.0	-45.487568	4.422954	-30.752808	-52.747395	-45.487568	0.0	830000	4413.770035743713
83	-200.0	-200.0	-199.7	-45.44706	4.471129	-30.301697	-52.85603	-45.44706	0.0	840000	4473.44326043129
84	-200.0	-200.0	-200.0	-45.476967	4.4429855	-30.792595	-52.556843	-45.476967	0.0	850000	4534.229565143585
