Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-100.0	-100.0	-90.0	-0.6100612	1.2828728	0.4742197	-17.476377	-0.6103349	0.1	5000	35.93632388114929
1	-99.84	-99.84	-100.0	-1.0728176	2.5104938	0.66855145	-21.556894	-1.0729729	0.0	10000	58.789488077163696
2	-100.0	-100.0	-90.0	-1.3441857	3.4303198	1.1154867	-25.193205	-1.3444158	0.1	15000	81.53928995132446
3	-100.0	-100.0	-100.0	-1.5644735	4.0400863	2.2498403	-27.038143	-1.564503	0.0	20000	118.35921120643616
4	-100.0	-100.0	-100.0	-1.7304199	4.359047	3.6864128	-29.41675	-1.7305689	0.0	25000	141.00020146369934
5	-100.0	-100.0	-100.0	-1.9526126	4.6496205	5.2042646	-31.51699	-1.9525083	0.0	30000	165.03519010543823
6	-100.0	-100.0	-100.0	-2.0923245	4.829052	6.690399	-34.69088	-2.0924523	0.0	35000	200.29357290267944
7	-100.0	-100.0	-100.0	-2.1985102	4.9605837	10.246544	-35.759655	-2.1983447	0.0	40000	223.04844546318054
8	-98.0	-98.0	-100.0	-2.228287	5.076737	13.604197	-44.252922	-2.2281978	0.0	45000	245.11010885238647
9	-99.86	-99.86	-100.0	-2.2062666	5.127047	16.555601	-32.90523	-2.2065728	0.0	50000	280.3041670322418
10	-99.74	-99.74	-99.7	-2.221553	5.1617928	17.260263	-43.274193	-2.2214715	0.0	55000	304.11342549324036
