Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-400.0	-400.0	-400.0	-4.6592174	2.2848396	0.345087	-11.240671	-4.659184	0.0	20000	63.180864572525024
1	-400.0	-400.0	-400.0	-11.939382	2.451724	-2.013438	-20.943514	-11.9393	0.0	40000	123.15445232391357
2	-400.0	-400.0	-400.0	-18.279154	2.7179668	-2.8627183	-29.586641	-18.279072	0.0	60000	180.27756524085999
3	-400.0	-400.0	-400.0	-23.637585	2.989015	-5.6581535	-36.345554	-23.637543	0.0	80000	237.7404215335846
4	-400.0	-400.0	-400.0	-28.11643	3.2661378	-6.707561	-41.00739	-28.116438	0.0	100000	294.9982748031616
5	-400.0	-400.0	-400.0	-31.858429	3.5448773	-10.161179	-44.950268	-31.858456	0.0	120000	352.1810111999512
6	-400.0	-400.0	-400.0	-34.927147	3.781794	-12.563889	-47.812046	-34.927174	0.0	140000	412.24339628219604
7	-400.0	-400.0	-396.8	-37.49098	4.008681	-11.879589	-52.289516	-37.490974	0.0	160000	479.513943195343
8	-400.0	-400.0	-400.0	-39.57739	4.2299995	-14.611902	-55.840263	-39.57743	0.0	180000	542.3500370979309
9	-400.0	-400.0	-400.0	-41.295986	4.355272	-17.037605	-57.139267	-41.29596	0.0	200000	602.54221534729
10	-400.0	-400.0	-400.0	-42.6935	4.4617763	-20.468603	-57.772186	-42.69347	0.0	220000	661.3464105129242
11	-400.0	-400.0	-400.0	-43.871674	4.53263	-23.572645	-58.7219	-43.871696	0.0	240000	726.0219075679779
12	-400.0	-400.0	-400.0	-44.882084	4.5644574	-23.390402	-60.0459	-44.88214	0.0	260000	791.610954284668
13	-400.0	-400.0	-400.0	-45.742363	4.526928	-25.569681	-61.169685	-45.74239	0.0	280000	852.0651798248291
14	-400.0	-400.0	-400.0	-46.434093	4.512059	-27.366135	-61.314693	-46.434105	0.0	300000	913.5755031108856
15	-400.0	-400.0	-400.0	-46.99401	4.4764547	-26.479286	-60.943943	-46.994038	0.0	320000	974.3482794761658
16	-400.0	-400.0	-400.0	-47.452827	4.43738	-26.552294	-61.05184	-47.452816	0.0	340000	1038.1336295604706
17	-399.36	-399.36	-400.0	-47.78941	4.415193	-26.952972	-61.218853	-47.789413	0.0	360000	1116.4988489151
18	-400.0	-400.0	-400.0	-48.031967	4.3831596	-29.422567	-61.544495	-48.03196	0.0	380000	1195.6537866592407
19	-400.0	-400.0	-400.0	-48.241886	4.347783	-29.759235	-62.1607	-48.241913	0.0	400000	1252.595630645752
20	-400.0	-400.0	-400.0	-48.42786	4.262957	-30.51028	-60.99996	-48.42786	0.0	420000	1310.4003257751465
21	-400.0	-400.0	-400.0	-48.550907	4.205168	-31.909931	-60.45485	-48.550896	0.0	440000	1370.0281703472137
22	-400.0	-400.0	-400.0	-48.64129	4.1636963	-31.601223	-59.754913	-48.641304	0.0	460000	1435.0448701381683
23	-400.0	-400.0	-400.0	-48.673466	4.175008	-31.627665	-59.657368	-48.67345	0.0	480000	1504.9030771255493
24	-400.0	-400.0	-400.0	-48.690285	4.174978	-30.368177	-59.6242	-48.690323	0.0	500000	1571.0168693065643
25	-399.98	-399.98	-400.0	-48.704857	4.1554832	-28.972397	-59.147865	-48.70483	0.0	520000	1637.5775783061981
26	-400.0	-400.0	-400.0	-48.66157	4.168907	-28.848997	-59.074883	-48.661575	0.0	540000	1702.2021415233612
27	-400.0	-400.0	-400.0	-48.666466	4.1376557	-31.459642	-58.46248	-48.666473	0.0	560000	1772.1482470035553
28	-400.0	-400.0	-400.0	-48.68981	4.0782423	-30.9875	-58.69013	-48.68988	0.0	580000	1839.2176241874695
29	-400.0	-400.0	-400.0	-48.686462	4.0529594	-30.35773	-57.81715	-48.686485	0.0	600000	1905.4010863304138
30	-400.0	-400.0	-400.0	-48.665066	4.0373206	-31.802439	-58.639282	-48.665092	0.0	620000	1968.1793236732483
31	-400.0	-400.0	-400.0	-48.669456	3.9816995	-31.446772	-58.858406	-48.66942	0.0	640000	2031.553753376007
32	-400.0	-400.0	-400.0	-48.63399	3.9646323	-31.555544	-57.458534	-48.63397	0.0	660000	2100.4454383850098
33	-400.0	-400.0	-400.0	-48.631977	3.9418633	-31.07511	-57.69614	-48.631977	0.0	680000	2165.2971103191376
34	-400.0	-400.0	-400.0	-48.58957	3.9433947	-30.904507	-57.09246	-48.589573	0.0	700000	2242.0796189308167
35	-400.0	-400.0	-400.0	-48.59046	3.9085603	-31.711369	-56.82047	-48.590492	0.0	720000	2307.559267759323
36	-400.0	-400.0	-400.0	-48.608707	3.8702939	-33.894115	-56.50369	-48.60871	0.0	740000	2369.3824248313904
37	-400.0	-400.0	-400.0	-48.583225	3.8783743	-32.804604	-56.50484	-48.583244	0.0	760000	2435.7487075328827
38	-400.0	-400.0	-400.0	-48.55743	3.8774593	-33.519493	-57.07618	-48.557426	0.0	780000	2497.2293014526367
39	-400.0	-400.0	-400.0	-48.547035	3.8882298	-33.3932	-56.356606	-48.547028	0.0	800000	2561.99911236763
40	-400.0	-400.0	-400.0	-48.51916	3.8713887	-33.31163	-56.00506	-48.519165	0.0	820000	2624.8323092460632
41	-400.0	-400.0	-400.0	-48.490593	3.8786542	-33.39831	-55.72853	-48.490574	0.0	840000	2687.3640627861023
42	-400.0	-400.0	-400.0	-48.47014	3.8850257	-32.617226	-56.304787	-48.470192	0.0	860000	2748.679477453232
